[05/07/25 17:39:27] [INFO] received Windows console close event; shutting log-core down
[05/07/25 17:51:06] [INFO] received Windows console close event; shutting log-core down
[05/08/25 04:41:15] [INFO] received Windows console close event; shutting log-core down
[05/08/25 04:41:16] [INFO] received Windows console close event; shutting log-core down
[05/08/25 04:47:47] [INFO] received Windows console close event; shutting log-core down
[05/08/25 04:56:36] [INFO] received Windows console close event; shutting log-core down
[05/08/25 04:56:59] [INFO] received Windows console close event; shutting log-core down
[05/08/25 05:05:04] [INFO] received Windows console close event; shutting log-core down
[05/08/25 05:05:55] [INFO] received Windows console close event; shutting log-core down
[05/08/25 05:07:02] [INFO] received Windows console close event; shutting log-core down
[05/08/25 05:08:40] [INFO] received Windows console close event; shutting log-core down
[05/08/25 05:12:29] [INFO] received Windows console close event; shutting log-core down
[05/08/25 05:12:40] [INFO] received Windows console close event; shutting log-core down
[05/08/25 05:15:51] [INFO] received Windows console close event; shutting log-core down
[05/08/25 06:07:58] [INFO] received Windows console close event; shutting log-core down
[05/08/25 06:13:57] [INFO] received Windows console close event; shutting log-core down
[05/08/25 08:41:02] [INFO] received Windows console close event; shutting log-core down
[05/08/25 08:45:22] [INFO] received Windows console close event; shutting log-core down
[05/08/25 09:33:58] [INFO] received Windows console close event; shutting log-core down
[05/08/25 09:36:52] [INFO] received Windows console close event; shutting log-core down
[05/08/25 09:38:15] [INFO] received Windows console close event; shutting log-core down
[05/08/25 09:39:00] [INFO] received Windows console close event; shutting log-core down
[05/08/25 10:37:09] [INFO] received Windows console close event; shutting log-core down
[05/08/25 10:53:57] [INFO] received Windows console close event; shutting log-core down
[05/08/25 11:15:18] [INFO] received Windows console close event; shutting log-core down
[05/08/25 11:37:09] [INFO] received Windows console close event; shutting log-core down
[05/08/25 11:45:00] [INFO] received Windows console close event; shutting log-core down
[05/08/25 11:49:04] [INFO] received Windows console close event; shutting log-core down
[05/08/25 11:50:55] [INFO] received Windows console close event; shutting log-core down
[05/08/25 11:54:57] [INFO] received Windows console close event; shutting log-core down
[05/08/25 11:59:00] [INFO] received Windows console close event; shutting log-core down
[05/08/25 12:08:13] [INFO] received Windows console close event; shutting log-core down
[05/08/25 12:15:12] [INFO] received Windows console close event; shutting log-core down
[05/08/25 12:16:34] [INFO] received Windows console close event; shutting log-core down
[05/08/25 12:19:09] [INFO] received Windows console close event; shutting log-core down
[05/08/25 12:45:10] [INFO] received Windows console close event; shutting log-core down
[05/08/25 12:45:11] [INFO] received Windows console close event; shutting log-core down
[05/08/25 12:48:54] [INFO] received Windows console close event; shutting log-core down
[05/08/25 13:59:43] [INFO] received Windows console close event; shutting log-core down
[05/08/25 20:15:15] [INFO] received Windows console close event; shutting log-core down
[05/08/25 22:03:54] [INFO] received Windows console close event; shutting log-core down
[05/08/25 22:32:03] [INFO] received Windows console close event; shutting log-core down
[05/08/25 22:36:07] [INFO] received Windows console close event; shutting log-core down
[05/08/25 22:39:12] [INFO] received Windows console close event; shutting log-core down
[05/08/25 22:43:50] [INFO] received Windows console close event; shutting log-core down
[05/08/25 22:46:59] [INFO] received Windows console close event; shutting log-core down
[05/08/25 23:09:17] [INFO] received Windows console close event; shutting log-core down
[05/08/25 23:09:39] [INFO] received Windows console close event; shutting log-core down
[05/09/25 00:25:26] [INFO] received Windows console close event; shutting log-core down
[05/09/25 08:34:15] [INFO] received Windows console close event; shutting log-core down
[05/09/25 08:41:22] [INFO] received Windows console close event; shutting log-core down
[05/09/25 08:49:43] [INFO] received Windows console close event; shutting log-core down
[05/09/25 09:37:49] [INFO] received Windows console close event; shutting log-core down
[05/09/25 10:16:44] [INFO] received Windows console close event; shutting log-core down
[05/09/25 11:13:22] [INFO] received Windows console close event; shutting log-core down
[05/09/25 11:15:22] [INFO] received Windows console close event; shutting log-core down
[05/09/25 11:20:12] [INFO] received Windows console close event; shutting log-core down
[05/09/25 11:35:43] [INFO] received Windows console close event; shutting log-core down
[05/09/25 12:20:29] [INFO] received Windows console close event; shutting log-core down
[05/09/25 13:04:34] [INFO] received Windows console close event; shutting log-core down
[05/09/25 14:37:02] [INFO] received Windows console close event; shutting log-core down
[05/09/25 14:37:43] [INFO] received Windows console close event; shutting log-core down
[05/09/25 14:45:56] [INFO] received Windows console close event; shutting log-core down
[05/09/25 15:09:44] [INFO] received Windows console close event; shutting log-core down
[05/09/25 15:16:33] [INFO] received Windows console close event; shutting log-core down
[05/09/25 15:42:21] [INFO] received Windows console close event; shutting log-core down
[05/09/25 16:40:13] [INFO] received Windows console close event; shutting log-core down
[05/09/25 19:03:03] [INFO] received Windows console close event; shutting log-core down
[05/09/25 19:07:53] [INFO] received Windows console close event; shutting log-core down
[05/09/25 19:12:25] [INFO] received Windows console close event; shutting log-core down
[05/09/25 19:22:49] [INFO] received Windows console close event; shutting log-core down
[05/09/25 19:37:18] [INFO] received Windows console close event; shutting log-core down
[05/09/25 19:40:14] [INFO] received Windows console close event; shutting log-core down
[05/09/25 19:43:40] [INFO] received Windows console close event; shutting log-core down
[05/09/25 21:59:10] [INFO] received Windows console close event; shutting log-core down
[05/10/25 13:28:30] [INFO] received Windows console close event; shutting log-core down
[05/10/25 13:38:06] [INFO] received Windows console close event; shutting log-core down
[05/11/25 16:17:25] [INFO] received Windows console close event; shutting log-core down
[05/11/25 16:37:58] [INFO] received Windows console close event; shutting log-core down
[05/12/25 10:56:52] [INFO] received Windows console close event; shutting log-core down
[05/12/25 15:49:09] [INFO] received Windows console close event; shutting log-core down
[05/12/25 15:53:18] [INFO] received Windows console close event; shutting log-core down
[05/12/25 16:03:33] [INFO] received Windows console close event; shutting log-core down
[05/12/25 16:16:45] [INFO] received Windows console close event; shutting log-core down
[05/12/25 16:33:23] [INFO] received Windows console close event; shutting log-core down
[05/12/25 16:38:33] [INFO] received Windows console close event; shutting log-core down
[05/12/25 16:38:34] [INFO] received Windows console close event; shutting log-core down
[05/12/25 16:51:32] [INFO] received Windows console close event; shutting log-core down
[05/12/25 17:13:48] [INFO] received Windows console close event; shutting log-core down
[05/12/25 18:00:02] [INFO] received Windows console close event; shutting log-core down
[05/12/25 18:06:31] [INFO] received Windows console close event; shutting log-core down
[05/12/25 18:22:15] [INFO] received Windows console close event; shutting log-core down
[05/12/25 18:34:09] [INFO] received Windows console close event; shutting log-core down
[05/12/25 19:00:25] [INFO] received Windows console close event; shutting log-core down
[05/12/25 19:05:13] [INFO] received Windows console close event; shutting log-core down
[05/12/25 19:13:24] [INFO] received Windows console close event; shutting log-core down
[05/12/25 19:19:25] [INFO] received Windows console close event; shutting log-core down
[05/12/25 19:23:22] [INFO] received Windows console close event; shutting log-core down
[05/12/25 19:37:16] [INFO] received Windows console close event; shutting log-core down
[05/12/25 19:42:29] [INFO] received Windows console close event; shutting log-core down
[05/12/25 19:57:31] [INFO] received Windows console close event; shutting log-core down
[05/12/25 20:10:28] [INFO] received Windows console close event; shutting log-core down
[05/12/25 20:18:33] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:10:59] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:15:40] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:18:39] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:23:11] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:27:15] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:35:42] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:38:30] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:44:53] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:51:53] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:54:33] [INFO] received Windows console close event; shutting log-core down
[05/13/25 10:57:27] [INFO] received Windows console close event; shutting log-core down
[05/13/25 11:00:03] [INFO] received Windows console close event; shutting log-core down
[05/13/25 11:03:47] [INFO] received Windows console close event; shutting log-core down
[05/13/25 11:11:08] [INFO] received Windows console close event; shutting log-core down
[05/13/25 11:29:53] [INFO] received Windows console close event; shutting log-core down
[05/13/25 11:33:28] [INFO] received Windows console close event; shutting log-core down
[05/13/25 11:36:04] [INFO] received Windows console close event; shutting log-core down
[05/13/25 11:43:59] [INFO] received Windows console close event; shutting log-core down
[05/13/25 11:44:46] [INFO] received Windows console close event; shutting log-core down
[05/13/25 11:45:53] [INFO] received Windows console close event; shutting log-core down
[05/13/25 12:10:18] [INFO] received Windows console close event; shutting log-core down
[05/13/25 12:26:18] [INFO] received Windows console close event; shutting log-core down
[05/13/25 12:32:12] [INFO] received Windows console close event; shutting log-core down
[05/13/25 12:42:34] [INFO] received Windows console close event; shutting log-core down
[05/13/25 12:44:44] [INFO] received Windows console close event; shutting log-core down
[05/13/25 19:11:27] [INFO] received Windows console close event; shutting log-core down
[05/13/25 19:13:42] [INFO] received Windows console close event; shutting log-core down
[05/13/25 19:19:35] [INFO] received Windows console close event; shutting log-core down
[05/13/25 20:42:47] [INFO] received Windows console close event; shutting log-core down
[05/13/25 21:08:28] [INFO] received Windows console close event; shutting log-core down
[05/13/25 21:17:13] [INFO] received Windows console close event; shutting log-core down
[05/13/25 21:28:43] [INFO] received Windows console close event; shutting log-core down
[05/13/25 21:34:33] [INFO] received Windows console close event; shutting log-core down
[05/13/25 21:43:37] [INFO] received Windows console close event; shutting log-core down
[05/13/25 21:49:38] [INFO] received Windows console close event; shutting log-core down
[05/13/25 21:51:45] [INFO] received Windows console close event; shutting log-core down
